Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier,Delivery_Delay,Fulfillment_Status,High_Value_Order,NetRevenue,Customer_Segmentation
ORD1019,CUST230,Electronics,UPI,555.98,5,7,7,5.0,No,Tier 3,0,On-Time,No,528.18,Standard Order
ORD1020,CUST249,Fashion,UPI,1513.4,5,4,5,5.0,No,Tier 1,1,Unknown Status,No,1437.73,Loyal & Satisfied
ORD1021,CUST152,Electronics,CREDIT CARD,2133.46,0,2,2,4.0,No,Tier 2,0,On-Time,No,2133.46,Loyal & Satisfied
ORD1022,CUST101,Beauty,UPI,1504.01,5,7,8,4.0,No,Tier 1,1,Unknown Status,No,1428.81,Loyal & Satisfied
ORD1023,CUST187,Home & Kitchen,CASH ON DELIVERY,316.19,15,6,6,4.0,No,Tier 2,0,On-Time,No,268.76,Standard Order
ORD1024,CUST335,Electronics,UPI,1288.56,10,5,5,4.0,No,Tier 2,0,On-Time,No,1159.7,Loyal & Satisfied
ORD1025,CUST257,Home & Kitchen,CREDIT CARD,1157.1,20,6,5,2.0,No,Tier 2,-1,Early,No,925.68,Standard Order
ORD1026,CUST137,Home & Kitchen,DEBIT CARD,2966.96,30,2,2,4.0,Yes,Tier 2,0,On-Time,No,2076.87,High Risk Transaction
ORD1027,CUST229,Fashion,CASH ON DELIVERY,821.5,10,4,4,4.0,No,Tier 2,0,On-Time,No,739.35,Standard Order
ORD1028,CUST291,Electronics,UPI,664.7,20,7,9,2.0,No,Tier 3,2,Unknown Status,No,531.76,Standard Order
ORD1029,CUST287,Home & Kitchen,UPI,1862.84,5,6,7,3.0,No,Tier 2,1,Unknown Status,No,1769.7,Standard Order
ORD1030,CUST120,Fashion,CREDIT CARD,838.61,10,3,3,5.0,No,Tier 3,0,On-Time,No,754.75,Standard Order
ORD1031,CUST260,Books,UPI,1446.48,15,5,12,5.0,No,Tier 3,7,Severe Delay,No,1229.51,Loyal & Satisfied
ORD1032,CUST303,Fashion,UPI,1447.68,5,6,7,2.0,No,Tier 1,1,Unknown Status,No,1375.3,Standard Order
ORD1033,CUST157,Beauty,UPI,2827.53,10,5,9,2.0,No,Tier 1,4,Severe Delay,No,2544.78,Standard Order
ORD1034,CUST121,Home & Kitchen,CASH ON DELIVERY,1295.63,0,7,7,3.0,No,Tier 1,0,On-Time,No,1295.63,Standard Order
ORD1035,CUST335,Home & Kitchen,CASH ON DELIVERY,1036.96,10,3,3,5.0,Yes,Tier 3,0,On-Time,No,933.26,Standard Order
ORD1036,CUST188,Beauty,CASH ON DELIVERY,379.41,30,4,3,2.0,No,Tier 1,-1,Early,No,265.59,Standard Order
ORD1037,CUST148,Fashion,CREDIT CARD,347.6,30,4,5,4.0,No,Tier 2,1,Unknown Status,No,243.32,Standard Order
ORD1038,CUST318,Electronics,CASH ON DELIVERY,401.14,15,3,2,2.0,Yes,Tier 3,-1,Early,No,340.97,Standard Order
ORD1039,CUST158,Electronics,UPI,426.27,15,5,5,4.0,No,Tier 1,0,On-Time,No,362.33,Standard Order
ORD1040,CUST269,Books,UPI,1418.93,10,7,7,3.0,No,Tier 2,0,On-Time,No,1277.04,Standard Order
ORD1041,CUST319,Home & Kitchen,DEBIT CARD,1821.03,10,6,6,4.0,No,Tier 1,0,On-Time,No,1638.93,Loyal & Satisfied
ORD1042,CUST287,Home & Kitchen,UPI,1106.01,0,3,4,3.0,No,Tier 1,1,Unknown Status,No,1106.01,Standard Order
ORD1043,CUST307,Electronics,UPI,2319.43,10,2,2,4.0,No,Tier 2,0,On-Time,No,2087.49,Loyal & Satisfied
ORD1044,CUST114,Electronics,CASH ON DELIVERY,5888.26,10,5,5,3.0,No,Tier 1,0,On-Time,Yes,5299.43,Standard Order
ORD1045,CUST289,Electronics,CREDIT CARD,2257.84,50,4,5,4.0,No,Tier 1,1,Unknown Status,No,1128.92,Loyal & Satisfied
ORD1046,CUST289,Fashion,UPI,1624.47,10,3,10,5.0,No,Tier 3,7,Severe Delay,No,1462.02,Loyal & Satisfied
ORD1047,CUST274,Home & Kitchen,CREDIT CARD,1112.41,10,4,5,2.0,No,Tier 1,1,Unknown Status,No,1001.17,Standard Order
ORD1048,CUST289,Fashion,UPI,914.9,10,5,9,5.0,No,Tier 3,4,Severe Delay,No,823.41,Standard Order
ORD1049,CUST150,Fashion,UPI,305.8,15,4,5,4.0,No,Tier 3,1,Unknown Status,No,259.93,Standard Order
ORD1050,CUST207,Beauty,CREDIT CARD,811.73,15,3,3,2.0,No,Tier 1,0,On-Time,No,689.97,Standard Order
ORD1051,CUST154,Fashion,UPI,3091.33,5,5,5,3.0,No,Tier 1,0,On-Time,No,2936.76,Standard Order
ORD1052,CUST343,Fashion,UPI,2180.45,10,2,3,2.0,Yes,Tier 2,1,Unknown Status,No,1962.4,Standard Order
ORD1053,CUST163,Books,CREDIT CARD,492.09,20,3,4,4.0,No,Tier 2,1,Unknown Status,No,393.67,Standard Order
ORD1054,CUST348,Fashion,UPI,954.2,10,6,7,4.0,No,Tier 1,1,Unknown Status,No,858.78,Standard Order
ORD1055,CUST230,Home & Kitchen,DEBIT CARD,2236.11,5,7,7,2.0,No,Tier 2,0,On-Time,No,2124.3,Standard Order
ORD1056,CUST328,Beauty,UPI,283.71,15,3,3,4.0,Yes,Tier 1,0,On-Time,No,241.15,Standard Order
ORD1057,CUST150,Beauty,CASH ON DELIVERY,788.04,20,5,5,5.0,No,Tier 3,0,On-Time,No,630.43,Standard Order
ORD1058,CUST234,Electronics,UPI,2491.37,0,7,7,5.0,No,Tier 1,0,On-Time,No,2491.37,Loyal & Satisfied
ORD1059,CUST120,Beauty,DEBIT CARD,820.81,20,3,3,4.0,No,Tier 1,0,On-Time,No,656.65,Standard Order
ORD1060,CUST172,Fashion,CASH ON DELIVERY,296.95,20,2,4,4.0,No,Tier 1,2,Unknown Status,No,237.56,Standard Order
ORD1061,CUST266,Fashion,CASH ON DELIVERY,1138.46,10,2,2,4.0,No,Tier 3,0,On-Time,No,1024.61,Loyal & Satisfied
ORD1062,CUST117,Fashion,UPI,2574.36,50,6,5,3.0,No,Tier 2,-1,Early,No,1287.18,Standard Order
ORD1063,CUST231,Beauty,CREDIT CARD,1270.75,20,4,4,5.0,No,Tier 3,0,On-Time,No,1016.6,Loyal & Satisfied
ORD1064,CUST188,Fashion,UPI,507.85,20,7,8,4.0,Yes,Tier 1,1,Unknown Status,No,406.28,Standard Order
ORD1065,CUST159,Fashion,DEBIT CARD,781.88,15,5,5,4.0,No,Tier 1,0,On-Time,No,664.6,Standard Order
ORD1066,CUST113,Home & Kitchen,CASH ON DELIVERY,917.67,0,5,5,4.0,No,Tier 1,0,On-Time,No,917.67,Standard Order
ORD1067,CUST341,Electronics,UPI,1238.91,5,4,4,5.0,No,Tier 2,0,On-Time,No,1176.96,Loyal & Satisfied
ORD1068,CUST349,Electronics,CREDIT CARD,1909.3,10,2,2,5.0,No,Tier 2,0,On-Time,No,1718.37,Loyal & Satisfied
ORD1069,CUST108,Electronics,UPI,324.93,5,2,6,3.0,No,Tier 2,4,Severe Delay,No,308.68,Standard Order
ORD1070,CUST189,Electronics,UPI,2844.94,10,3,7,3.0,No,Tier 1,4,Severe Delay,No,2560.45,Standard Order
ORD1071,CUST152,Electronics,CREDIT CARD,214.86,30,6,6,4.0,No,Tier 3,0,On-Time,No,150.4,Standard Order
ORD1072,CUST229,Electronics,DEBIT CARD,754.54,20,7,7,4.0,No,Tier 1,0,On-Time,No,603.63,Standard Order
ORD1073,CUST183,Home & Kitchen,CASH ON DELIVERY,233.36,15,6,7,3.0,Yes,Tier 3,1,Unknown Status,No,198.36,Standard Order
ORD1074,CUST191,Electronics,UPI,799.02,30,6,5,4.0,No,Tier 1,-1,Early,No,559.31,Standard Order
ORD1075,CUST210,Fashion,CREDIT CARD,1095.38,20,3,3,4.0,Yes,Tier 2,0,On-Time,No,876.3,Standard Order
ORD1076,CUST287,Beauty,UPI,1060.14,10,6,6,3.0,No,Tier 1,0,On-Time,No,954.13,Standard Order
ORD1077,CUST298,Fashion,CREDIT CARD,417.29,5,4,8,2.0,Yes,Tier 1,4,Severe Delay,No,396.43,Standard Order
ORD1078,CUST271,Home & Kitchen,UPI,1445.27,10,3,2,3.0,No,Tier 2,-1,Early,No,1300.74,Standard Order
ORD1079,CUST107,Electronics,DEBIT CARD,254.97,15,4,4,5.0,No,Tier 1,0,On-Time,No,216.72,Standard Order
ORD1080,CUST274,Electronics,CASH ON DELIVERY,1922.11,10,3,4,3.0,No,Tier 1,1,Unknown Status,No,1729.9,Standard Order
ORD1081,CUST134,Electronics,DEBIT CARD,3716.93,15,6,6,2.0,No,Tier 2,0,On-Time,Yes,3159.39,Standard Order
ORD1082,CUST305,Electronics,UPI,698.2,0,4,3,4.0,Yes,Tier 2,-1,Early,No,698.2,Standard Order
ORD1083,CUST180,Fashion,CREDIT CARD,1073.88,15,4,11,3.0,No,Tier 3,7,Severe Delay,No,912.8,Standard Order
ORD1084,CUST263,Electronics,UPI,771.54,20,4,4,1.0,No,Tier 1,0,On-Time,No,617.23,Standard Order
ORD1085,CUST149,Electronics,UPI,208.08,15,3,4,3.0,No,Tier 2,1,Unknown Status,No,176.87,Standard Order
ORD1086,CUST203,Electronics,CREDIT CARD,785.07,50,5,5,4.0,No,Tier 2,0,On-Time,No,392.54,Standard Order
ORD1087,CUST231,Fashion,CREDIT CARD,2082.65,20,6,6,4.0,No,Tier 1,0,On-Time,No,1666.12,Loyal & Satisfied
ORD1088,CUST101,Electronics,UPI,1287.58,30,4,4,3.0,No,Tier 2,0,On-Time,No,901.31,Standard Order
ORD1089,CUST233,Fashion,DEBIT CARD,328.11,30,7,6,3.0,No,Tier 1,-1,Early,No,229.68,Standard Order
ORD1090,CUST153,Fashion,UPI,2453.88,20,5,4,4.0,No,Tier 1,-1,Early,No,1963.1,Loyal & Satisfied
ORD1091,CUST205,Home & Kitchen,UPI,1108.8,15,7,9,3.0,No,Tier 1,2,Unknown Status,No,942.48,Standard Order
ORD1092,CUST103,Electronics,DEBIT CARD,2412.09,0,6,6,3.0,No,Tier 1,0,On-Time,No,2412.09,Standard Order
ORD1093,CUST153,Books,UPI,1241.63,10,6,6,3.0,No,Tier 2,0,On-Time,No,1117.47,Standard Order
ORD1094,CUST320,Home & Kitchen,UPI,1095.24,10,4,4,4.0,Yes,Tier 2,0,On-Time,No,985.72,Standard Order
ORD1095,CUST290,Electronics,CREDIT CARD,333.47,5,4,5,4.0,No,Tier 3,1,Unknown Status,No,316.8,Standard Order
ORD1096,CUST245,Beauty,CREDIT CARD,419.78,5,3,2,3.0,No,Tier 2,-1,Early,No,398.79,Standard Order
ORD1097,CUST317,Beauty,DEBIT CARD,1095.24,50,5,5,4.0,No,Tier 1,0,On-Time,No,547.62,Standard Order
ORD1098,CUST143,Electronics,CASH ON DELIVERY,511.28,30,5,4,1.0,Yes,Tier 3,-1,Early,No,357.9,High Risk Transaction
ORD1099,CUST261,Fashion,DEBIT CARD,4750.54,20,4,3,3.0,Yes,Tier 3,-1,Early,Yes,3800.43,Standard Order
ORD1100,CUST301,Books,CASH ON DELIVERY,1110.92,10,6,5,4.0,No,Tier 1,-1,Early,No,999.83,Loyal & Satisfied
ORD1101,CUST289,Home & Kitchen,UPI,375.13,0,4,6,3.0,No,Tier 2,2,Unknown Status,No,375.13,Standard Order
ORD1102,CUST327,Electronics,UPI,325.5,0,6,5,4.0,Yes,Tier 3,-1,Early,No,325.5,Standard Order
ORD1103,CUST113,Electronics,UPI,481.14,5,6,5,3.0,No,Tier 2,-1,Early,No,457.08,Standard Order
ORD1104,CUST194,Fashion,CASH ON DELIVERY,3318.56,0,4,4,4.0,No,Tier 3,0,On-Time,No,3318.56,Loyal & Satisfied
ORD1105,CUST147,Fashion,UPI,841.63,0,2,4,1.0,No,Tier 1,2,Unknown Status,No,841.63,Standard Order
ORD1106,CUST114,Home & Kitchen,CREDIT CARD,803.89,30,5,5,5.0,Yes,Tier 1,0,On-Time,No,562.72,High Risk Transaction
ORD1107,CUST299,Fashion,CASH ON DELIVERY,1095.24,15,7,7,2.0,No,Tier 1,0,On-Time,No,930.95,Standard Order
ORD1108,CUST305,Fashion,DEBIT CARD,390.88,5,6,5,5.0,No,Tier 2,-1,Early,No,371.34,Standard Order
ORD1109,CUST314,Home & Kitchen,CREDIT CARD,1002.97,0,6,6,3.0,Yes,Tier 3,0,On-Time,No,1002.97,Standard Order
ORD1110,CUST348,Electronics,CREDIT CARD,367.18,10,2,2,4.0,No,Tier 3,0,On-Time,No,330.46,Standard Order
ORD1111,CUST289,Fashion,DEBIT CARD,2365.67,0,7,7,3.0,No,Tier 1,0,On-Time,No,2365.67,Standard Order
ORD1112,CUST139,Home & Kitchen,CREDIT CARD,755.2,30,3,3,5.0,No,Tier 1,0,On-Time,No,528.64,Standard Order
ORD1113,CUST312,Beauty,CASH ON DELIVERY,763.63,10,2,2,2.0,No,Tier 3,0,On-Time,No,687.27,Standard Order
ORD1114,CUST307,Fashion,UPI,970.96,10,7,6,2.0,Yes,Tier 2,-1,Early,No,873.86,Standard Order
ORD1115,CUST336,Fashion,CREDIT CARD,904.66,5,2,2,4.0,Yes,Tier 1,0,On-Time,No,859.43,Standard Order
ORD1116,CUST181,Electronics,CASH ON DELIVERY,6524.37,0,6,5,2.0,No,Tier 2,-1,Early,Yes,6524.37,Standard Order
ORD1117,CUST210,Fashion,UPI,1145.96,15,5,6,2.0,No,Tier 2,1,Unknown Status,No,974.07,Standard Order
ORD1118,CUST152,Fashion,CASH ON DELIVERY,310.8,15,2,9,5.0,No,Tier 2,7,Severe Delay,No,264.18,Standard Order
ORD1119,CUST123,Electronics,UPI,1320.36,15,3,10,4.0,No,Tier 2,7,Severe Delay,No,1122.31,Loyal & Satisfied
ORD1120,CUST253,Fashion,CASH ON DELIVERY,397.26,0,4,6,3.0,No,Tier 1,2,Unknown Status,No,397.26,Standard Order
ORD1121,CUST316,Fashion,DEBIT CARD,237.71,10,7,8,5.0,No,Tier 3,1,Unknown Status,No,213.94,Standard Order
ORD1122,CUST287,Electronics,UPI,4437.93,10,2,3,4.0,No,Tier 2,1,Unknown Status,Yes,3994.14,Loyal & Satisfied
ORD1123,CUST223,Fashion,UPI,1982.22,30,2,2,3.0,No,Tier 1,0,On-Time,No,1387.55,Standard Order
ORD1124,CUST336,Electronics,DEBIT CARD,4900.99,5,3,4,4.0,No,Tier 1,1,Unknown Status,Yes,4655.94,Loyal & Satisfied
ORD1125,CUST140,Fashion,CASH ON DELIVERY,979.83,5,5,5,4.0,No,Tier 2,0,On-Time,No,930.84,Standard Order
ORD1126,CUST256,Electronics,UPI,1111.8,15,2,2,4.0,Yes,Tier 1,0,On-Time,No,945.03,Standard Order
ORD1127,CUST114,Beauty,UPI,421.19,15,2,3,3.0,No,Tier 1,1,Unknown Status,No,358.01,Standard Order
ORD1128,CUST144,Home & Kitchen,DEBIT CARD,540.28,10,5,5,4.0,No,Tier 2,0,On-Time,No,486.25,Standard Order
ORD1129,CUST164,Home & Kitchen,UPI,1095.24,10,3,3,1.0,No,Tier 1,0,On-Time,No,985.72,Standard Order
ORD1130,CUST188,Books,CASH ON DELIVERY,728.41,10,7,11,2.0,Yes,Tier 2,4,Severe Delay,No,655.57,Standard Order
ORD1131,CUST170,Fashion,UPI,2304.07,30,7,6,1.0,No,Tier 1,-1,Early,No,1612.85,Standard Order
ORD1132,CUST108,Electronics,CREDIT CARD,1681.38,10,2,2,4.0,No,Tier 2,0,On-Time,No,1513.24,Loyal & Satisfied
ORD1133,CUST187,Fashion,DEBIT CARD,434.01,30,5,9,5.0,No,Tier 1,4,Severe Delay,No,303.81,Standard Order
ORD1134,CUST228,Home & Kitchen,UPI,1049.78,10,2,3,4.0,No,Tier 1,1,Unknown Status,No,944.8,Standard Order
ORD1135,CUST335,Home & Kitchen,CASH ON DELIVERY,1557.56,30,4,4,4.0,Yes,Tier 1,0,On-Time,No,1090.29,High Risk Transaction
ORD1136,CUST235,Fashion,CASH ON DELIVERY,521.51,20,7,7,3.0,No,Tier 3,0,On-Time,No,417.21,Standard Order
ORD1137,CUST315,Electronics,UPI,2331.22,5,6,6,2.0,No,Tier 3,0,On-Time,No,2214.66,Standard Order
ORD1138,CUST162,Fashion,CASH ON DELIVERY,1144.49,30,4,6,3.0,No,Tier 1,2,Unknown Status,No,801.14,Standard Order
ORD1139,CUST238,Fashion,UPI,416.74,0,2,2,3.0,No,Tier 2,0,On-Time,No,416.74,Standard Order
ORD1140,CUST342,Home & Kitchen,UPI,1249.56,30,3,3,4.0,No,Tier 2,0,On-Time,No,874.69,Loyal & Satisfied
ORD1141,CUST180,Home & Kitchen,UPI,9990.6,15,7,6,4.0,No,Tier 3,-1,Early,Yes,8492.01,Loyal & Satisfied
ORD1142,CUST235,Fashion,CREDIT CARD,395.76,0,6,5,1.0,Yes,Tier 1,-1,Early,No,395.76,Standard Order
ORD1143,CUST262,Beauty,UPI,2236.33,15,4,11,1.0,No,Tier 2,7,Severe Delay,No,1900.88,Standard Order
ORD1144,CUST262,Home & Kitchen,CREDIT CARD,478.79,50,7,7,2.0,No,Tier 1,0,On-Time,No,239.4,Standard Order
ORD1145,CUST132,Electronics,CASH ON DELIVERY,2030.05,0,5,6,3.0,No,Tier 1,1,Unknown Status,No,2030.05,Standard Order
ORD1146,CUST222,Electronics,CREDIT CARD,1791.72,10,3,2,5.0,No,Tier 3,-1,Early,No,1612.55,Loyal & Satisfied
ORD1147,CUST104,Electronics,CASH ON DELIVERY,628.85,15,4,5,4.0,No,Tier 2,1,Unknown Status,No,534.52,Standard Order
ORD1148,CUST333,Electronics,CASH ON DELIVERY,673.12,20,5,9,5.0,Yes,Tier 1,4,Severe Delay,No,538.5,Standard Order
ORD1149,CUST330,Electronics,DEBIT CARD,2087.27,10,2,2,4.0,No,Tier 1,0,On-Time,No,1878.54,Loyal & Satisfied
ORD1150,CUST349,Electronics,UPI,942.64,5,5,4,3.0,Yes,Tier 2,-1,Early,No,895.51,Standard Order
ORD1151,CUST140,Fashion,CASH ON DELIVERY,1774.84,0,4,4,2.0,No,Tier 2,0,On-Time,No,1774.84,Standard Order
ORD1152,CUST127,Electronics,DEBIT CARD,392.18,10,4,5,5.0,No,Tier 1,1,Unknown Status,No,352.96,Standard Order
ORD1153,CUST234,Beauty,UPI,2497.18,10,2,2,4.0,No,Tier 3,0,On-Time,No,2247.46,Loyal & Satisfied
ORD1154,CUST300,Electronics,CASH ON DELIVERY,1689.12,30,5,7,2.0,No,Tier 1,2,Unknown Status,No,1182.38,Standard Order
ORD1155,CUST171,Fashion,CASH ON DELIVERY,3049.45,0,5,6,4.0,No,Tier 1,1,Unknown Status,No,3049.45,Loyal & Satisfied
ORD1156,CUST111,Fashion,CREDIT CARD,370.39,15,2,4,4.0,No,Tier 3,2,Unknown Status,No,314.83,Standard Order
ORD1157,CUST261,Beauty,CREDIT CARD,1095.24,0,5,6,4.0,No,Tier 1,1,Unknown Status,No,1095.24,Standard Order
ORD1158,CUST132,Electronics,UPI,1296.91,0,7,6,5.0,No,Tier 1,-1,Early,No,1296.91,Loyal & Satisfied
ORD1159,CUST147,Fashion,CASH ON DELIVERY,723.35,10,2,2,4.0,No,Tier 2,0,On-Time,No,651.02,Standard Order
ORD1160,CUST346,Beauty,UPI,936.02,10,3,3,4.0,Yes,Tier 3,0,On-Time,No,842.42,Standard Order
ORD1161,CUST250,Beauty,CREDIT CARD,246.47,15,4,8,1.0,No,Tier 1,4,Severe Delay,No,209.5,Standard Order
ORD1162,CUST161,Books,UPI,1843.84,30,3,4,1.0,No,Tier 3,1,Unknown Status,No,1290.69,Standard Order
ORD1163,CUST315,Fashion,CASH ON DELIVERY,1156.4,15,7,8,2.0,No,Tier 2,1,Unknown Status,No,982.94,Standard Order
ORD1164,CUST136,Electronics,CASH ON DELIVERY,271.37,50,7,7,1.0,No,Tier 1,0,On-Time,No,135.68,Standard Order
ORD1165,CUST198,Home & Kitchen,UPI,1570.16,30,6,6,4.0,No,Tier 2,0,On-Time,No,1099.11,Loyal & Satisfied
ORD1166,CUST271,Beauty,UPI,954.59,10,6,7,4.0,No,Tier 1,1,Unknown Status,No,859.13,Standard Order
ORD1167,CUST203,Home & Kitchen,CASH ON DELIVERY,242.08,20,6,6,2.0,No,Tier 1,0,On-Time,No,193.66,Standard Order
ORD1168,CUST313,Home & Kitchen,CREDIT CARD,4392.28,15,2,2,5.0,No,Tier 2,0,On-Time,Yes,3733.44,Loyal & Satisfied
ORD1169,CUST318,Fashion,UPI,3773.76,0,5,6,2.0,No,Tier 3,1,Unknown Status,Yes,3773.76,Standard Order
ORD1170,CUST134,Books,UPI,1063.15,15,7,6,3.0,No,Tier 1,-1,Early,No,903.68,Standard Order
ORD1171,CUST292,Electronics,UPI,318.03,0,3,3,3.0,No,Tier 1,0,On-Time,No,318.03,Standard Order
ORD1172,CUST326,Fashion,CREDIT CARD,1885.94,10,3,3,3.0,No,Tier 2,0,On-Time,No,1697.35,Standard Order
ORD1173,CUST200,Fashion,UPI,1012.57,15,3,2,3.0,No,Tier 1,-1,Early,No,860.68,Standard Order
ORD1174,CUST274,Fashion,UPI,632.21,0,3,10,4.0,Yes,Tier 1,7,Severe Delay,No,632.21,Standard Order
ORD1175,CUST305,Electronics,DEBIT CARD,1011.36,5,6,6,3.0,No,Tier 1,0,On-Time,No,960.79,Standard Order
ORD1176,CUST230,Electronics,CREDIT CARD,1086.89,30,3,2,4.0,No,Tier 2,-1,Early,No,760.82,Standard Order
ORD1177,CUST100,Home & Kitchen,CREDIT CARD,1192.6,15,5,5,1.0,No,Tier 1,0,On-Time,No,1013.71,Standard Order
ORD1178,CUST104,Fashion,CREDIT CARD,898.41,5,6,7,2.0,No,Tier 1,1,Unknown Status,No,853.49,Standard Order
ORD1179,CUST317,Home & Kitchen,DEBIT CARD,1316.94,15,3,3,1.0,No,Tier 3,0,On-Time,No,1119.4,Standard Order
ORD1180,CUST346,Electronics,DEBIT CARD,3212.04,10,2,2,4.0,No,Tier 3,0,On-Time,No,2890.84,Loyal & Satisfied
ORD1181,CUST241,Fashion,CASH ON DELIVERY,739.8,10,4,3,1.0,No,Tier 2,-1,Early,No,665.82,Standard Order
ORD1182,CUST202,Fashion,UPI,1752.31,50,4,3,5.0,No,Tier 1,-1,Early,No,876.16,Loyal & Satisfied
ORD1183,CUST126,Electronics,CASH ON DELIVERY,2898.31,15,4,4,4.0,Yes,Tier 2,0,On-Time,No,2463.56,Standard Order
ORD1184,CUST236,Fashion,UPI,930.52,5,6,8,4.0,No,Tier 1,2,Unknown Status,No,883.99,Standard Order
ORD1185,CUST306,Electronics,DEBIT CARD,903.21,20,3,5,4.0,No,Tier 1,2,Unknown Status,No,722.57,Standard Order
ORD1186,CUST114,Electronics,DEBIT CARD,1305.92,30,7,6,2.0,No,Tier 2,-1,Early,No,914.14,Standard Order
ORD1187,CUST189,Beauty,CASH ON DELIVERY,1274.04,0,7,7,2.0,No,Tier 1,0,On-Time,No,1274.04,Standard Order
ORD1188,CUST141,Fashion,UPI,2171.53,5,7,11,3.0,No,Tier 1,4,Severe Delay,No,2062.95,Standard Order
ORD1189,CUST223,Books,CASH ON DELIVERY,976.62,5,6,6,4.0,No,Tier 1,0,On-Time,No,927.79,Standard Order
ORD1190,CUST304,Fashion,UPI,6863.22,15,5,7,3.0,No,Tier 1,2,Unknown Status,Yes,5833.74,Standard Order
ORD1191,CUST278,Home & Kitchen,CASH ON DELIVERY,273.58,15,2,1,2.0,No,Tier 1,-1,Early,No,232.54,Standard Order
ORD1192,CUST162,Books,CREDIT CARD,203.81,15,2,6,4.0,No,Tier 3,4,Severe Delay,No,173.24,Standard Order
ORD1193,CUST195,Home & Kitchen,UPI,1426.64,30,4,5,1.0,No,Tier 1,1,Unknown Status,No,998.65,Standard Order
ORD1194,CUST330,Fashion,UPI,625.33,20,4,8,5.0,No,Tier 1,4,Severe Delay,No,500.26,Standard Order
ORD1195,CUST340,Fashion,UPI,529.93,0,7,8,4.0,No,Tier 1,1,Unknown Status,No,529.93,Standard Order
ORD1196,CUST151,Fashion,DEBIT CARD,648.58,5,7,7,3.0,No,Tier 3,0,On-Time,No,616.15,Standard Order
ORD1197,CUST195,Beauty,UPI,554.93,10,4,8,2.0,No,Tier 2,4,Severe Delay,No,499.44,Standard Order
ORD1198,CUST231,Books,DEBIT CARD,237.53,5,3,3,2.0,No,Tier 1,0,On-Time,No,225.65,Standard Order
ORD1199,CUST321,Beauty,CASH ON DELIVERY,4470.81,15,5,5,4.0,No,Tier 3,0,On-Time,Yes,3800.19,Loyal & Satisfied
ORD1200,CUST328,Electronics,CREDIT CARD,499.3,30,5,6,4.0,No,Tier 1,1,Unknown Status,No,349.51,Standard Order
